segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-4.474139,-2.443705,-2.755745,-3.960725,-1.925391,-4.754169,-3.580999,-1.858303,-0.8531463,-5.133391,-1.366498,-4.198944,-3.762562,-4.755378,-2.426259,-1.315747,boundary
-2.33036,-1.053978,-0.3299232,-0.1873727,1.017438,-3.50123,-1.913477,-1.649918,0.4818893,-3.14939,0.2216468,1.352827,0.8070824,-0.4339696,0.3782996,1.869582,boundary
-2.286258,-2.698352,-1.33055,-2.052512,-0.9196049,-4.417987,-3.470452,-0.4346121,-0.2927252,-3.210042,-3.020173,-3.491942,-4.043302,-3.54932,-2.579424,-1.658115,boundary
-4.24594,-5.429534,-3.608191,-3.540552,-3.333173,-4.565016,-8.191966,-1.391646,-2.132926,-2.235111,-4.194689,-4.639568,-3.949628,-4.776575,-5.614475,-2.667404,boundary
-1.495166,-0.1330798,-0.5370764,-0.2890201,1.484267,-1.146276,0.211918,-0.5569562,1.348875,-1.69751,3.446827,2.271313,0.07250024,0.753471,0.4518414,1.915802,boundary
0.8108891,-4.561045,-0.9627413,1.614601,-1.168591,2.196001,-5.599928,0.8019013,-1.05721,-0.582454,-5.10947,1.270518,-1.313633,1.640153,-2.897412,0.06875296,boundary
-1.483477,-4.78515,-2.174953,-1.097831,-1.627556,-3.343992,-7.156181,-0.005932777,-1.578189,1.865076,-3.488408,-4.214645,-3.608213,-2.271017,-4.802086,-1.192,boundary
4.777547,1.231343,-0.9231142,3.187717,2.73051,5.833953,3.270814,0.6918009,0.0631211,6.629866,1.049091,4.724472,4.363111,4.945253,3.809778,4.100861,boundary
1.04054,4.039101,-1.188837,0.9025299,1.710156,1.856619,6.177812,0.1168142,1.024003,1.252452,6.339011,2.441077,1.485098,1.972517,4.902253,1.419421,boundary
5.132374,3.323508,-0.1493409,5.159481,3.386462,7.381681,4.720611,1.297567,1.045416,6.992575,5.749812,7.810706,4.356224,7.155706,4.93516,4.924554,boundary
4.011852,1.643849,-0.4841329,3.082622,2.029638,6.416929,1.864476,0.06343481,1.070848,7.650597,3.38264,4.503549,3.469909,3.996048,2.711704,2.757677,boundary
