segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
11.31793,4.738763,7.880412,8.289327,15.54116,15.91168,1.422711,-2.283177,7.357359,10.21406,9.974069,10.71254,11.68641,8.632207,S  8
2.177746,0.7696711,4.892487,5.402207,1.507453,4.253663,-1.218683,2.394244,3.148654,6.42345,4.969197,4.910788,5.346657,4.15542,S  8
4.954004,1.57764,5.024742,4.11577,0.9992881,5.986902,0.01795671,-1.606359,2.565128,4.887114,5.543973,5.959897,5.145495,4.645646,S  8
-1.073491,1.174421,5.077038,2.187723,-0.1079173,4.477355,-1.152354,3.332452,4.213503,4.580153,5.021832,5.482284,5.885183,5.201663,S  8
-2.876051,-0.3290202,2.818668,-1.522206,-1.440327,-3.72022,-2.435119,-5.46206,-0.7574308,-0.3900748,0.1100787,3.368571,-0.4338816,0.3783826,S  8
6.71781,-0.9344827,2.868457,0.6390498,1.792285,4.147053,0.1790051,-9.761834,-3.093357,-1.775271,-0.2291474,3.589467,2.48699,0.4034316,S  8
-14.88574,-2.459196,2.150269,-6.313237,-3.734974,-17.6101,-5.316638,-4.321846,-3.4734,-5.647342,-3.689678,0.5084193,-5.392549,-2.097376,S  8
0.2627923,-0.2082862,0.8033927,-2.942923,2.681551,-0.9100173,-0.1564624,-4.317093,-0.2199291,-2.202933,-0.4629562,3.795718,-0.5383862,0.1701361,S  8
-4.847687,-2.660435,-2.210931,-6.998651,-10.92352,-2.289838,-2.788165,-3.048364,-4.652152,-4.140701,-3.597918,-2.35726,-1.988611,-4.442782,S  8
-10.23882,-3.653042,-1.830711,-9.920381,0.6017123,-20.81182,-4.249314,-15.22609,-8.476852,-10.9504,-9.512305,-1.674401,-9.235778,-7.370079,S  8
1.438868,-2.259349,-3.533238,-3.848488,7.86186,1.328767,1.264153,1.36727,-1.978518,-2.440123,-1.686414,1.246454,0.2642584,-2.686924,S  8
-9.483324,-3.385916,-7.361454,-10.3016,-17.52875,-5.853454,-3.276157,4.764926,-4.224839,-4.319357,-5.524331,-5.660956,-4.068066,-6.359291,S  8
-0.5306503,-4.52413,-6.8983,-9.143767,0.6329455,-4.770963,-1.02601,-7.969604,-7.152284,-8.22167,-8.72353,-2.70193,-6.2888,-8.383679,S  8
-4.491568,-5.163587,-7.485383,-7.921258,1.006709,-6.869714,-0.3407877,1.556657,-4.108644,-4.055459,-4.539645,-2.933745,-2.693699,-5.91233,S  8
-0.1495875,-4.268754,-10.15061,-7.772889,-7.885826,-2.048557,0.2353947,0.4379013,-7.518882,-6.623987,-9.384151,-5.491039,-4.414226,-8.026764,S  8
-1.889663,-6.468879,-10.79057,-8.165567,-6.349267,2.074332,-0.4274482,5.449168,-6.71138,-7.028447,-7.85322,-5.49171,-5.639624,-8.74841,S  8
-7.60913,-5.476503,-6.374479,-9.454971,-5.16775,-12.58968,-2.050964,-2.414697,-4.7437,-6.933034,-7.680583,-2.223675,-6.983351,-5.176726,S  8
2.803781,-5.424181,-8.7873,-5.48725,-4.788599,-3.185,1.678314,-6.339805,-10.8271,-10.0773,-12.14397,-5.516086,-6.565866,-8.307792,S  8
-4.825292,-5.78456,-9.008073,-5.470759,-9.707963,-2.135064,-0.7008085,6.405847,-8.949014,-9.909428,-10.11205,-6.424194,-6.235485,-8.006939,S  8
-6.797834,-4.107847,-2.027969,-6.631422,3.004183,-12.77183,-2.43822,-7.894638,-8.267238,-11.8166,-11.55945,1.069861,-9.722345,-4.792985,S  8
2.440386,0.4805809,-1.283575,2.652193,-12.00708,8.366286,0.9133425,5.591642,2.117244,6.546885,5.918754,-4.722202,7.170197,0.9995573,boundary
7.269901,3.58102,4.601643,6.598047,3.422211,12.7275,1.315908,0.583168,9.0397,11.3576,11.85226,5.864285,10.83238,7.012908,boundary
-5.090503,4.817774,11.04827,4.757143,21.48247,-0.02310283,-0.8415916,-1.685225,7.956247,7.373863,9.059986,14.60163,5.251069,9.176083,boundary
14.85413,0.6042415,1.022779,7.643471,-3.49732,19.10812,5.139012,4.601805,2.571106,6.543002,5.341522,0.998244,10.22789,3.12424,boundary
7.664223,3.806355,6.392027,9.013838,9.389709,18.07662,2.7293,7.96358,15.56722,16.38407,17.86032,10.1979,14.45174,9.68562,boundary
-5.565314,2.503047,7.381087,5.160967,5.481708,0.3008658,-0.5269988,5.864753,9.674897,9.293358,11.14531,9.55677,4.534776,7.832612,boundary
12.82551,2.437467,3.769135,5.167036,16.12518,13.93186,5.466862,-3.986221,2.701722,2.362111,2.718236,8.462964,5.758583,3.624305,boundary
-0.5795291,1.38503,2.043493,2.865788,-3.816532,9.481993,-0.05890609,3.337565,7.01955,7.627273,9.296943,2.879786,4.026468,3.541967,boundary
-3.426165,-0.04587083,0.8985634,1.250874,11.98937,-1.335709,1.626076,3.270864,5.221513,4.424116,6.607585,4.284721,-1.014809,2.817759,boundary
-1.553666,1.890424,1.513178,-0.7771458,3.545081,0.1233564,0.7929212,-9.695849,0.01789271,-2.703831,0.005793057,3.090053,-2.176054,0.8021771,boundary
1.481579,-0.0657024,-1.652126,1.505838,-12.39776,-7.092415,2.289155,3.484499,-7.069394,-8.318889,-7.544763,-3.772131,-5.934454,-0.3606329,boundary
2.659703,2.696737,3.594998,3.461001,0.4663654,-4.292771,1.573002,3.635748,-2.599086,-5.59881,-4.84967,1.268104,-0.5954001,3.515099,boundary
3.914427,1.64429,2.12084,3.568368,-3.034118,4.126273,1.626404,5.835888,1.660475,4.254255,1.484955,1.833576,6.751623,5.17604,boundary
