segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,labels
-3.140544,-0.2376828,-0.2194436,-1.816516,6.082414,-0.9782705,-0.2374036,3.135785,2.185777,-0.1399784,0.4341206,-0.3060853,boundary
-1.983125,-1.310336,-6.813782,-6.598417,2.03901,-2.205325,0.3179434,-0.8913434,1.104769,-3.177172,-1.986583,-8.089793,boundary
-5.645926,-2.894752,-6.740297,-9.073028,-1.248486,-7.70876,-3.932371,-3.264169,-1.892903,-6.388452,-6.902234,-9.606168,boundary
-7.55568,-5.328274,-7.5124,-11.489,-6.968419,-13.41599,-8.634759,-8.206378,-6.71727,-9.905247,-13.15873,-13.43801,boundary
-8.689131,-1.879444,-3.724779,-8.955151,-3.982643,-14.93487,-7.484845,-6.993179,-5.526024,-5.512911,-12.07652,-8.7427,boundary
-8.750268,0.3632079,0.3249399,-7.186129,1.417387,-14.7656,-7.383279,-7.900602,-6.168263,-1.050249,-10.37379,-5.251658,boundary
-6.426757,-2.794921,-0.1750751,-5.648931,-4.949603,-13.43583,-10.26001,-8.326508,-7.218947,-4.548685,-10.84809,-4.984156,boundary
-2.665085,0.5956167,1.096167,-1.228138,-1.31704,-8.707256,-5.665867,-4.992149,-4.463923,-0.5703205,-6.589839,-1.395042,boundary
-0.7376243,3.247899,4.872944,1.894124,6.607989,-3.434891,-1.462189,-2.063628,-0.6075053,6.385578,-0.2284198,3.756224,boundary
3.596719,3.225667,7.504714,5.795415,2.573672,3.402082,1.076399,2.552031,3.563102,7.029618,6.408249,8.077327,boundary
8.383796,3.324048,4.590559,8.527296,10.32356,10.34228,5.263988,6.192983,5.470857,9.04823,9.620411,8.011408,boundary
8.82648,-0.9090586,0.5372052,3.781709,16.93583,16.93968,10.70731,9.722938,10.99924,9.636333,9.514589,4.137959,boundary
11.26235,-0.5982932,-1.925906,6.673171,6.383965,18.116,9.518991,11.01592,11.08937,4.904008,11.16047,3.784179,boundary
12.54936,0.8227525,-0.0622443,7.110665,3.063051,17.67472,4.891382,10.05802,5.992275,2.697193,12.43946,4.555503,boundary
5.758261,1.319291,-1.908498,3.893342,-3.849433,11.53984,-1.325795,5.803771,1.806051,-3.614087,7.795007,1.512022,boundary
9.069032,1.495375,-0.5244122,6.792904,-3.043678,12.64656,-0.1279507,6.531842,1.793581,-2.256765,9.218517,2.289702,boundary
10.02005,1.63148,-1.995731,6.213288,-11.11343,12.14698,-1.994252,6.876321,-3.568503,-5.728115,9.640093,2.056374,boundary
2.265904,1.917221,-3.168539,1.550744,-12.76345,4.040748,-7.423181,1.473888,-6.672375,-8.36486,3.151206,-2.123018,boundary
5.334679,3.200789,2.700069,4.975899,-3.504981,8.145114,-0.6886328,5.85874,-2.237666,-1.43066,7.602987,2.915855,boundary
3.048833,0.9707353,-1.949097,1.456807,-8.922409,3.944521,-2.002826,3.906465,-6.667834,-4.591529,2.534564,-0.5861951,boundary
-0.4761557,0.9680553,-1.398163,-1.80857,-3.985005,-1.501721,-2.016138,0.6429315,-6.880104,-1.098554,-1.800858,-3.51733,boundary
-1.648549,1.872508,3.451555,-0.6491073,6.140812,1.73532,4.611538,4.79564,-1.392829,5.893607,2.085094,1.947944,boundary
3.242916,2.516094,-3.016192,3.073676,-9.862283,5.845314,3.362453,4.408829,-2.07002,-2.296633,5.476403,3.026085,boundary
1.179196,2.009677,-1.744055,2.621746,-9.57772,3.149621,-0.004038117,2.478832,-4.373048,-1.589856,4.148751,1.072112,boundary
4.39005,6.933136,5.266308,6.508716,8.004362,5.901719,7.861749,8.126398,1.297483,8.318271,7.137254,7.718591,boundary
3.093065,3.865856,2.586737,4.033952,1.852967,5.790109,6.220318,4.040189,-0.8068006,4.418771,6.115815,4.130253,boundary
0.1206424,2.712152,2.533107,2.641519,4.4857,3.115808,5.626837,3.080036,-1.809107,6.077137,4.698607,3.804709,boundary
5.097663,5.980936,7.741127,7.092088,6.494492,8.764743,12.30936,12.17092,7.083638,10.22866,9.990199,9.945979,boundary
-1.678639,3.237681,7.792585,2.834123,8.925518,0.3051792,4.34751,1.559462,0.01926099,8.034243,2.472262,4.097339,boundary
-1.722268,4.205234,8.076948,2.529308,10.29113,0.3305468,6.250987,3.037135,1.534393,10.24463,3.089818,6.496993,boundary
-1.31959,3.310531,9.747419,3.198633,8.104939,0.7476502,6.350898,5.149047,4.404,9.610674,3.736578,7.093551,boundary
-5.678488,1.916813,9.206494,1.071626,1.400704,-5.33497,-1.465717,-0.8342589,-0.827815,4.607012,-0.9635912,4.01402,boundary
-2.280359,-3.719175,-3.705555,-5.436656,5.439937,-11.89626,-4.421275,-8.578315,-6.887271,0.2466239,-9.339026,-5.77873,boundary
-4.850654,-5.954749,-5.559263,-6.36828,-4.730299,-11.69956,-7.504644,-9.840487,-9.800422,-4.814793,-11.83526,-7.075525,boundary
